Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Domestic use,Sorghum,Crops,Million bushels,Market year,2024/25,110
Domestic use,Sorghum,Crops,Million bushels,Market year,2025/26,110
Domestic use,Sorghum,Crops,Million bushels,Market year,2026/27,105
Domestic use,Sorghum,Crops,Million bushels,Market year,2027/28,105
Domestic use,Sorghum,Crops,Million bushels,Market year,2028/29,105
Domestic use,Sorghum,Crops,Million bushels,Market year,2029/30,105
Domestic use,Sorghum,Crops,Million bushels,Market year,2030/31,105
Domestic use,Wheat,Crops,Million bushels,Market year,2019/20,1123
Domestic use,Wheat,Crops,Million bushels,Market year,2020/21,1121
Domestic use,Wheat,Crops,Million bushels,Market year,2021/22,1113
Domestic use,Wheat,Crops,Million bushels,Market year,2022/23,1115
Domestic use,Wheat,Crops,Million bushels,Market year,2023/24,1116
Domestic use,Wheat,Crops,Million bushels,Market year,2024/25,1118
Domestic use,Wheat,Crops,Million bushels,Market year,2025/26,1120
Domestic use,Wheat,Crops,Million bushels,Market year,2026/27,1122
Domestic use,Wheat,Crops,Million bushels,Market year,2027/28,1123
Domestic use,Wheat,Crops,Million bushels,Market year,2028/29,1125
Domestic use,Wheat,Crops,Million bushels,Market year,2029/30,1127
Domestic use,Wheat,Crops,Million bushels,Market year,2030/31,1138
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2019/20,4852
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2020/21,5050
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2021/22,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2022/23,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2023/24,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2024/25,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2025/26,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2026/27,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2027/28,5125
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2028/29,5150
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2029/30,5150
Ethanol and by-products,Corn,Crops,Million bushels,Market year,2030/31,5150
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2019/20,136
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2020/21,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2021/22,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2022/23,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2023/24,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2024/25,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2025/26,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2026/27,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2027/28,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2028/29,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2029/30,143
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2030/31,143
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2019/20,6282
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2020/21,6475
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2021/22,6550
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2022/23,6545
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2023/24,6545
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2024/25,6540
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2025/26,6540
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2026/27,6535
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2027/28,6535
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2028/29,6555
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2029/30,6555
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2030/31,6550
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2019/20,81
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2020/21,79
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2021/22,80
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2022/23,81
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2023/24,81
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2024/25,82
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2025/26,82
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2026/27,83
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2027/28,83
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2028/29,84
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2029/30,84
"Food, seed, & industrial",Oats,Crops,Million bushels,Market year,2030/31,85
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2019/20,75
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2020/21,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2021/22,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2022/23,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2023/24,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2024/25,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2025/26,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2026/27,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2027/28,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2028/29,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2029/30,40
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2030/31,40
Food,Wheat,Crops,Million bushels,Market year,2019/20,962
Food,Wheat,Crops,Million bushels,Market year,2020/21,960
Food,Wheat,Crops,Million bushels,Market year,2021/22,961
Food,Wheat,Crops,Million bushels,Market year,2022/23,963
Food,Wheat,Crops,Million bushels,Market year,2023/24,965
Food,Wheat,Crops,Million bushels,Market year,2024/25,967
Food,Wheat,Crops,Million bushels,Market year,2025/26,969
Food,Wheat,Crops,Million bushels,Market year,2026/27,971
Food,Wheat,Crops,Million bushels,Market year,2027/28,973
Food,Wheat,Crops,Million bushels,Market year,2028/29,975
Food,Wheat,Crops,Million bushels,Market year,2029/30,977
Food,Wheat,Crops,Million bushels,Market year,2030/31,979
Feed & residual,Barley,Crops,Million bushels,Market year,2019/20,44
Feed & residual,Barley,Crops,Million bushels,Market year,2020/21,25
Feed & residual,Barley,Crops,Million bushels,Market year,2021/22,30
Feed & residual,Barley,Crops,Million bushels,Market year,2022/23,30
Feed & residual,Barley,Crops,Million bushels,Market year,2023/24,35
Feed & residual,Barley,Crops,Million bushels,Market year,2024/25,35
Feed & residual,Barley,Crops,Million bushels,Market year,2025/26,40
Feed & residual,Barley,Crops,Million bushels,Market year,2026/27,40
Feed & residual,Barley,Crops,Million bushels,Market year,2027/28,40
Feed & residual,Barley,Crops,Million bushels,Market year,2028/29,40
Feed & residual,Barley,Crops,Million bushels,Market year,2029/30,40
Feed & residual,Barley,Crops,Million bushels,Market year,2030/31,45
Feed & residual,Corn,Crops,Million bushels,Market year,2019/20,5827
Feed & residual,Corn,Crops,Million bushels,Market year,2020/21,5775
Feed & residual,Corn,Crops,Million bushels,Market year,2021/22,5950
Feed & residual,Corn,Crops,Million bushels,Market year,2022/23,6050
Feed & residual,Corn,Crops,Million bushels,Market year,2023/24,6200
Feed & residual,Corn,Crops,Million bushels,Market year,2024/25,6275
Feed & residual,Corn,Crops,Million bushels,Market year,2025/26,6400
Feed & residual,Corn,Crops,Million bushels,Market year,2026/27,6425
Feed & residual,Corn,Crops,Million bushels,Market year,2027/28,6500
Feed & residual,Corn,Crops,Million bushels,Market year,2028/29,6575
Feed & residual,Corn,Crops,Million bushels,Market year,2029/30,6725
Feed & residual,Corn,Crops,Million bushels,Market year,2030/31,6850
Feed & residual,Oats,Crops,Million bushels,Market year,2019/20,63
Feed & residual,Oats,Crops,Million bushels,Market year,2020/21,75
Feed & residual,Oats,Crops,Million bushels,Market year,2021/22,80
Feed & residual,Oats,Crops,Million bushels,Market year,2022/23,80
Feed & residual,Oats,Crops,Million bushels,Market year,2023/24,80
Feed & residual,Oats,Crops,Million bushels,Market year,2024/25,80
Feed & residual,Oats,Crops,Million bushels,Market year,2025/26,80
Feed & residual,Oats,Crops,Million bushels,Market year,2026/27,75
Feed & residual,Oats,Crops,Million bushels,Market year,2027/28,75
Feed & residual,Oats,Crops,Million bushels,Market year,2028/29,80
Feed & residual,Oats,Crops,Million bushels,Market year,2029/30,80
Feed & residual,Oats,Crops,Million bushels,Market year,2030/31,75
Feed & residual,Sorghum,Crops,Million bushels,Market year,2019/20,97
Feed & residual,Sorghum,Crops,Million bushels,Market year,2020/21,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2021/22,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2022/23,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2023/24,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2024/25,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2025/26,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2026/27,65
Feed & residual,Sorghum,Crops,Million bushels,Market year,2027/28,65
Feed & residual,Sorghum,Crops,Million bushels,Market year,2028/29,65
Feed & residual,Sorghum,Crops,Million bushels,Market year,2029/30,65
Feed & residual,Sorghum,Crops,Million bushels,Market year,2030/31,65
Feed & residual,Wheat,Crops,Million bushels,Market year,2019/20,102
Feed & residual,Wheat,Crops,Million bushels,Market year,2020/21,100
Feed & residual,Wheat,Crops,Million bushels,Market year,2021/22,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2022/23,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2023/24,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2024/25,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2025/26,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2026/27,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2027/28,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2028/29,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2029/30,90
Feed & residual,Wheat,Crops,Million bushels,Market year,2030/31,100
Crush,Soybeans,Crops,Million bushels,Market year,2019/20,2165
Crush,Soybeans,Crops,Million bushels,Market year,2020/21,2180
Crush,Soybeans,Crops,Million bushels,Market year,2021/22,2200
Crush,Soybeans,Crops,Million bushels,Market year,2022/23,2230
Crush,Soybeans,Crops,Million bushels,Market year,2023/24,2260
Crush,Soybeans,Crops,Million bushels,Market year,2024/25,2290
Crush,Soybeans,Crops,Million bushels,Market year,2025/26,2315
Crush,Soybeans,Crops,Million bushels,Market year,2026/27,2345
Crush,Soybeans,Crops,Million bushels,Market year,2027/28,2375
Crush,Soybeans,Crops,Million bushels,Market year,2028/29,2405
Crush,Soybeans,Crops,Million bushels,Market year,2029/30,2435
Crush,Soybeans,Crops,Million bushels,Market year,2030/31,2460
Seed,Wheat,Crops,Million bushels,Market year,2019/20,60
Seed,Wheat,Crops,Million bushels,Market year,2020/21,61
Seed,Wheat,Crops,Million bushels,Market year,2021/22,62
Seed,Wheat,Crops,Million bushels,Market year,2022/23,62
Seed,Wheat,Crops,Million bushels,Market year,2023/24,61
Seed,Wheat,Crops,Million bushels,Market year,2024/25,61
Seed,Wheat,Crops,Million bushels,Market year,2025/26,61
Seed,Wheat,Crops,Million bushels,Market year,2026/27,61
Seed,Wheat,Crops,Million bushels,Market year,2027/28,60
Seed,Wheat,Crops,Million bushels,Market year,2028/29,60
Seed,Wheat,Crops,Million bushels,Market year,2029/30,60
Seed,Wheat,Crops,Million bushels,Market year,2030/31,59
Seed and residual,Soybeans,Crops,Million bushels,Market year,2019/20,112
Seed and residual,Soybeans,Crops,Million bushels,Market year,2020/21,136
Seed and residual,Soybeans,Crops,Million bushels,Market year,2021/22,140
Seed and residual,Soybeans,Crops,Million bushels,Market year,2022/23,140
Seed and residual,Soybeans,Crops,Million bushels,Market year,2023/24,141
Seed and residual,Soybeans,Crops,Million bushels,Market year,2024/25,141
Seed and residual,Soybeans,Crops,Million bushels,Market year,2025/26,141
Seed and residual,Soybeans,Crops,Million bushels,Market year,2026/27,141
Seed and residual,Soybeans,Crops,Million bushels,Market year,2027/28,142
Seed and residual,Soybeans,Crops,Million bushels,Market year,2028/29,142
Seed and residual,Soybeans,Crops,Million bushels,Market year,2029/30,142
Seed and residual,Soybeans,Crops,Million bushels,Market year,2030/31,143
Total use,Barley,Crops,Million bushels,Market year,2019/20,186
Total use,Barley,Crops,Million bushels,Market year,2020/21,174
Total use,Barley,Crops,Million bushels,Market year,2021/22,178
Total use,Barley,Crops,Million bushels,Market year,2022/23,178
Total use,Barley,Crops,Million bushels,Market year,2023/24,183
Total use,Barley,Crops,Million bushels,Market year,2024/25,183
Total use,Barley,Crops,Million bushels,Market year,2025/26,188
Total use,Barley,Crops,Million bushels,Market year,2026/27,188
Total use,Barley,Crops,Million bushels,Market year,2027/28,188
Total use,Barley,Crops,Million bushels,Market year,2028/29,188
Total use,Barley,Crops,Million bushels,Market year,2029/30,188
Total use,Barley,Crops,Million bushels,Market year,2030/31,193
Total use,Corn,Crops,Million bushels,Market year,2019/20,13887
Total use,Corn,Crops,Million bushels,Market year,2020/21,14575
Total use,Corn,Crops,Million bushels,Market year,2021/22,14825
Total use,Corn,Crops,Million bushels,Market year,2022/23,14970
Total use,Corn,Crops,Million bushels,Market year,2023/24,15170
Total use,Corn,Crops,Million bushels,Market year,2024/25,15290
Total use,Corn,Crops,Million bushels,Market year,2025/26,15465
Total use,Corn,Crops,Million bushels,Market year,2026/27,15535
Total use,Corn,Crops,Million bushels,Market year,2027/28,15660
Total use,Corn,Crops,Million bushels,Market year,2028/29,15805
Total use,Corn,Crops,Million bushels,Market year,2029/30,16005
Total use,Corn,Crops,Million bushels,Market year,2030/31,16175
Total use,Oats,Crops,Million bushels,Market year,2019/20,146
Total use,Oats,Crops,Million bushels,Market year,2020/21,156
Total use,Oats,Crops,Million bushels,Market year,2021/22,162
Total use,Oats,Crops,Million bushels,Market year,2022/23,163
Total use,Oats,Crops,Million bushels,Market year,2023/24,163
Total use,Oats,Crops,Million bushels,Market year,2024/25,164
Total use,Oats,Crops,Million bushels,Market year,2025/26,164
Total use,Oats,Crops,Million bushels,Market year,2026/27,160
Total use,Oats,Crops,Million bushels,Market year,2027/28,160
Total use,Oats,Crops,Million bushels,Market year,2028/29,166
Total use,Oats,Crops,Million bushels,Market year,2029/30,166
Total use,Oats,Crops,Million bushels,Market year,2030/31,162
Total use,Sorghum,Crops,Million bushels,Market year,2019/20,376
Total use,Sorghum,Crops,Million bushels,Market year,2020/21,370
Total use,Sorghum,Crops,Million bushels,Market year,2021/22,425
Total use,Sorghum,Crops,Million bushels,Market year,2022/23,425
Total use,Sorghum,Crops,Million bushels,Market year,2023/24,425
Total use,Sorghum,Crops,Million bushels,Market year,2024/25,430
Total use,Sorghum,Crops,Million bushels,Market year,2025/26,430
Total use,Sorghum,Crops,Million bushels,Market year,2026/27,425
Total use,Sorghum,Crops,Million bushels,Market year,2027/28,425
Total use,Sorghum,Crops,Million bushels,Market year,2028/29,425
Total use,Sorghum,Crops,Million bushels,Market year,2029/30,430
Total use,Sorghum,Crops,Million bushels,Market year,2030/31,430
Total use,Soybeans,Crops,Million bushels,Market year,2019/20,3953
Total use,Soybeans,Crops,Million bushels,Market year,2020/21,4516
Total use,Soybeans,Crops,Million bushels,Market year,2021/22,4515
Total use,Soybeans,Crops,Million bushels,Market year,2022/23,4565
Total use,Soybeans,Crops,Million bushels,Market year,2023/24,4611
Total use,Soybeans,Crops,Million bushels,Market year,2024/25,4686
Total use,Soybeans,Crops,Million bushels,Market year,2025/26,4746
Total use,Soybeans,Crops,Million bushels,Market year,2026/27,4781
Total use,Soybeans,Crops,Million bushels,Market year,2027/28,4822
Total use,Soybeans,Crops,Million bushels,Market year,2028/29,4877
Total use,Soybeans,Crops,Million bushels,Market year,2029/30,4922
Total use,Soybeans,Crops,Million bushels,Market year,2030/31,4978
Total use,Wheat,Crops,Million bushels,Market year,2019/20,2089
Total use,Wheat,Crops,Million bushels,Market year,2020/21,2096
Total use,Wheat,Crops,Million bushels,Market year,2021/22,2063
Total use,Wheat,Crops,Million bushels,Market year,2022/23,2065
Total use,Wheat,Crops,Million bushels,Market year,2023/24,2066
Total use,Wheat,Crops,Million bushels,Market year,2024/25,2068
Total use,Wheat,Crops,Million bushels,Market year,2025/26,2070
Total use,Wheat,Crops,Million bushels,Market year,2026/27,2072
Total use,Wheat,Crops,Million bushels,Market year,2027/28,2073
Total use,Wheat,Crops,Million bushels,Market year,2028/29,2075
Total use,Wheat,Crops,Million bushels,Market year,2029/30,2077
Total use,Wheat,Crops,Million bushels,Market year,2030/31,2088
Exports,Barley,Crops,Million bushels,Market year,2019/20,6
Exports,Barley,Crops,Million bushels,Market year,2020/21,6
Exports,Barley,Crops,Million bushels,Market year,2021/22,5
Exports,Barley,Crops,Million bushels,Market year,2022/23,5
Exports,Barley,Crops,Million bushels,Market year,2023/24,5
Exports,Barley,Crops,Million bushels,Market year,2024/25,5
Exports,Barley,Crops,Million bushels,Market year,2025/26,5
Exports,Barley,Crops,Million bushels,Market year,2026/27,5
Exports,Barley,Crops,Million bushels,Market year,2027/28,5
Exports,Barley,Crops,Million bushels,Market year,2028/29,5
Exports,Barley,Crops,Million bushels,Market year,2029/30,5
Exports,Barley,Crops,Million bushels,Market year,2030/31,5
Exports,Corn,Crops,Million bushels,Market year,2019/20,1778
Exports,Corn,Crops,Million bushels,Market year,2020/21,2325
Exports,Corn,Crops,Million bushels,Market year,2021/22,2325
Exports,Corn,Crops,Million bushels,Market year,2022/23,2375
Exports,Corn,Crops,Million bushels,Market year,2023/24,2425
Exports,Corn,Crops,Million bushels,Market year,2024/25,2475
Exports,Corn,Crops,Million bushels,Market year,2025/26,2525
Exports,Corn,Crops,Million bushels,Market year,2026/27,2575
Exports,Corn,Crops,Million bushels,Market year,2027/28,2625
Exports,Corn,Crops,Million bushels,Market year,2028/29,2675
Exports,Corn,Crops,Million bushels,Market year,2029/30,2725
Exports,Corn,Crops,Million bushels,Market year,2030/31,2775
Exports,Oats,Crops,Million bushels,Market year,2019/20,2
Exports,Oats,Crops,Million bushels,Market year,2020/21,2
Exports,Oats,Crops,Million bushels,Market year,2021/22,2
Exports,Oats,Crops,Million bushels,Market year,2022/23,2
Exports,Oats,Crops,Million bushels,Market year,2023/24,2
Exports,Oats,Crops,Million bushels,Market year,2024/25,2
Exports,Oats,Crops,Million bushels,Market year,2025/26,2
Exports,Oats,Crops,Million bushels,Market year,2026/27,2
Exports,Oats,Crops,Million bushels,Market year,2027/28,2
Exports,Oats,Crops,Million bushels,Market year,2028/29,2
Exports,Oats,Crops,Million bushels,Market year,2029/30,2
Exports,Oats,Crops,Million bushels,Market year,2030/31,2
Exports,Sorghum,Crops,Million bushels,Market year,2019/20,204
Exports,Sorghum,Crops,Million bushels,Market year,2020/21,260
Exports,Sorghum,Crops,Million bushels,Market year,2021/22,315
Exports,Sorghum,Crops,Million bushels,Market year,2022/23,315
Exports,Sorghum,Crops,Million bushels,Market year,2023/24,315
Exports,Sorghum,Crops,Million bushels,Market year,2024/25,320
Exports,Sorghum,Crops,Million bushels,Market year,2025/26,320
Exports,Sorghum,Crops,Million bushels,Market year,2026/27,320
Exports,Sorghum,Crops,Million bushels,Market year,2027/28,320
Exports,Sorghum,Crops,Million bushels,Market year,2028/29,320
Exports,Sorghum,Crops,Million bushels,Market year,2029/30,325
Exports,Sorghum,Crops,Million bushels,Market year,2030/31,325
Exports,Soybeans,Crops,Million bushels,Market year,2019/20,1676
Exports,Soybeans,Crops,Million bushels,Market year,2020/21,2200
Exports,Soybeans,Crops,Million bushels,Market year,2021/22,2175
Exports,Soybeans,Crops,Million bushels,Market year,2022/23,2195
Exports,Soybeans,Crops,Million bushels,Market year,2023/24,2210
Exports,Soybeans,Crops,Million bushels,Market year,2024/25,2255
Exports,Soybeans,Crops,Million bushels,Market year,2025/26,2290
Exports,Soybeans,Crops,Million bushels,Market year,2026/27,2295
Exports,Soybeans,Crops,Million bushels,Market year,2027/28,2305
Exports,Soybeans,Crops,Million bushels,Market year,2028/29,2330
Exports,Soybeans,Crops,Million bushels,Market year,2029/30,2345
Exports,Soybeans,Crops,Million bushels,Market year,2030/31,2375
Exports,Wheat,Crops,Million bushels,Market year,2019/20,965
Exports,Wheat,Crops,Million bushels,Market year,2020/21,975
Exports,Wheat,Crops,Million bushels,Market year,2021/22,950
Exports,Wheat,Crops,Million bushels,Market year,2022/23,950
Exports,Wheat,Crops,Million bushels,Market year,2023/24,950
Exports,Wheat,Crops,Million bushels,Market year,2024/25,950
Exports,Wheat,Crops,Million bushels,Market year,2025/26,950
Exports,Wheat,Crops,Million bushels,Market year,2026/27,950
Exports,Wheat,Crops,Million bushels,Market year,2027/28,950
Exports,Wheat,Crops,Million bushels,Market year,2028/29,950
Exports,Wheat,Crops,Million bushels,Market year,2029/30,950
Exports,Wheat,Crops,Million bushels,Market year,2030/31,950
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2019/20,4636
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2020/21,6868
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2021/22,6940
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2022/23,6360
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2023/24,6130
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2024/25,5925
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2025/26,5975
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2026/27,6075
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2027/28,6075
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2028/29,6125
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2029/30,6075
Beginning stocks,Upland Cotton,Crops,Thousand bales,Market year,2030/31,6000
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2019/20,6868
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2020/21,6940
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2021/22,6360
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2022/23,6130
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2023/24,5925
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2024/25,5975
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2025/26,6075
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2026/27,6075
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2027/28,6125
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2028/29,6075
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2029/30,6000
Ending stocks,Upland Cotton,Crops,Thousand bales,Market year,2030/31,5900
Imports,Upland Cotton,Crops,Thousand bales,Market year,2019/20,0
Imports,Upland Cotton,Crops,Thousand bales,Market year,2020/21,0
Imports,Upland Cotton,Crops,Thousand bales,Market year,2021/22,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2022/23,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2023/24,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2024/25,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2025/26,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2026/27,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2027/28,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2028/29,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2029/30,5
Imports,Upland Cotton,Crops,Thousand bales,Market year,2030/31,5
Production,Upland Cotton,Crops,Thousand bales,Market year,2019/20,19227
Production,Upland Cotton,Crops,Thousand bales,Market year,2020/21,16500
Production,Upland Cotton,Crops,Thousand bales,Market year,2021/22,16900
Production,Upland Cotton,Crops,Thousand bales,Market year,2022/23,17900
Production,Upland Cotton,Crops,Thousand bales,Market year,2023/24,18300
Production,Upland Cotton,Crops,Thousand bales,Market year,2024/25,18700
Production,Upland Cotton,Crops,Thousand bales,Market year,2025/26,19000
Production,Upland Cotton,Crops,Thousand bales,Market year,2026/27,19200
Production,Upland Cotton,Crops,Thousand bales,Market year,2027/28,19500
Production,Upland Cotton,Crops,Thousand bales,Market year,2028/29,19700
Production,Upland Cotton,Crops,Thousand bales,Market year,2029/30,20000
Production,Upland Cotton,Crops,Thousand bales,Market year,2030/31,20300
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2019/20,23863
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2020/21,23368
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2021/22,23845
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2022/23,24265
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2023/24,24435
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2024/25,24630
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2025/26,24980
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2026/27,25280
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2027/28,25580
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2028/29,25830
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2029/30,26080
Total supply,Upland Cotton,Crops,Thousand bales,Market year,2030/31,26305
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2019/20,2135
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2020/21,2480
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2021/22,2580
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2022/23,2630
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2023/24,2655
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2024/25,2800
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2025/26,2900
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2026/27,3000
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2027/28,3000
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2028/29,3000
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2029/30,3000
Domestic use,Upland Cotton,Crops,Thousand bales,Market year,2030/31,3000
Total use,Upland Cotton,Crops,Thousand bales,Market year,2019/20,17156
Total use,Upland Cotton,Crops,Thousand bales,Market year,2020/21,16430
Total use,Upland Cotton,Crops,Thousand bales,Market year,2021/22,17430
Total use,Upland Cotton,Crops,Thousand bales,Market year,2022/23,18080
Total use,Upland Cotton,Crops,Thousand bales,Market year,2023/24,18455
Total use,Upland Cotton,Crops,Thousand bales,Market year,2024/25,18600
Total use,Upland Cotton,Crops,Thousand bales,Market year,2025/26,18850
Total use,Upland Cotton,Crops,Thousand bales,Market year,2026/27,19150
Total use,Upland Cotton,Crops,Thousand bales,Market year,2027/28,19400
Total use,Upland Cotton,Crops,Thousand bales,Market year,2028/29,19700
Total use,Upland Cotton,Crops,Thousand bales,Market year,2029/30,20025
Total use,Upland Cotton,Crops,Thousand bales,Market year,2030/31,20350
Exports,Upland Cotton,Crops,Thousand bales,Market year,2019/20,15021
Exports,Upland Cotton,Crops,Thousand bales,Market year,2020/21,13950
Exports,Upland Cotton,Crops,Thousand bales,Market year,2021/22,14850
Exports,Upland Cotton,Crops,Thousand bales,Market year,2022/23,15450
Exports,Upland Cotton,Crops,Thousand bales,Market year,2023/24,15800
Exports,Upland Cotton,Crops,Thousand bales,Market year,2024/25,15800
